Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.1-239.255.255.250-59122-1900-17,192.168.1.1,59122,239.255.255.250,1900,17,02/02/2025 08:49:39 ??,60498369,36,1,15411.0,382.0,462.0,382.0,428.0833333333333,29.19136369349185,382.0,382.0,382.0,0.0,261.0483598326428,0.6115867355035638,1680510.2499999995,9955523.204336807,5.9753328E7,0.0,6.0498368E7,1728524.8,1.0096637004597062E7,5.9753328E7,0.0,0,0,0,0,0,0,0,0,0,288,8,0.5950573642737377,0.016529371229826048,382.0,462.0,425.657894736842,30.246086470805302,914.8257467994316,0,0,0,0,0,0,0,0,0.0,437.1621621621622,428.0833333333333,382.0,0,0,0,0,0,0,36,15411,1,382,-1,-1,36,0,353307.0,0.0,353307.0,353307.0,5.9753328E7,0.0,5.9753328E7,5.9753328E7,No Label
192.168.1.204-224.0.0.251-5353-5353-17,192.168.1.204,5353,224.0.0.251,5353,17,02/02/2025 08:47:20 ??,999915,1,1,43.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,43.0,0.0,86.00731062140282,2.0001700144512284,999915.0,0.0,999915.0,999915.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1.0000850072256142,1.0000850072256142,43.0,43.0,43.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,64.5,43.0,43.0,0,0,0,0,0,0,1,43,1,43,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/02/2025 08:51:05 ??,14023629,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5704657474894694,2003375.5714285716,5537.969027755629,2015921.0,2000830.0,1.2022181E7,2003696.8333333333,5994.661272054217,2015921.0,2000830.0,0,0,0,0,0,0,0,0,0,0,0,0.4991575290532857,0.07130821843618368,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.223-255.255.255.255-30303-30303-17,192.168.1.223,30303,255.255.255.255,30303,17,02/02/2025 08:47:07 ??,119603217,17,1,153.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,1.354478617410433,0.15049762415671478,7035483.352941177,49062.59727244004,7127511.0,6897384.0,1.12587688E8,7036730.5,50392.560961581104,7127511.0,6897384.0,0,0,0,0,0,0,0,0,0,136,8,0.1421366450368973,0.008360979119817489,9.0,9.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,9.5,9.0,9.0,0,0,0,0,0,0,17,153,1,9,-1,-1,17,0,0,0,0,0,7035483.352941177,49062.59727244004,7127511.0,6897384.0,No Label
192.168.1.1-239.255.255.250-59122-1900-17,192.168.1.1,59122,239.255.255.250,1900,17,02/02/2025 08:47:39 ??,60478409,43,1,18366.0,382.0,462.0,382.0,427.1162790697674,29.129603092064585,382.0,382.0,382.0,0.0,309.9949272805771,0.7275323661374756,1406474.6279069772,9119050.092609152,5.981263E7,0.0,6.0475217E7,1439886.1190476192,9226923.812811775,5.981263E7,0.0,0,0,0,0,0,0,0,0,0,344,8,0.7109975396343512,0.016534826503124447,382.0,462.0,425.1111111111111,29.972883367699833,898.3737373737372,0,0,0,0,0,0,0,0,0.0,434.77272727272725,427.1162790697674,382.0,0,0,0,0,0,0,43,18366,1,382,-1,-1,43,0,354427.0,0.0,354427.0,354427.0,5.981263E7,0.0,5.981263E7,5.981263E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/02/2025 08:49:05 ??,118335311,300,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5436194611429213,394451.0366666664,784512.3390354575,2082084.0,0.0,1.16314621E8,389012.1103678934,780141.3683193662,2082084.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.5351688981490907,0.008450562993830303,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,300,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.204-239.255.255.250-55778-1900-17,192.168.1.204,55778,239.255.255.250,1900,17,02/02/2025 08:48:02 ??,92052498,1,1,137.0,137.0,137.0,137.0,137.0,0.0,137.0,137.0,137.0,0.0,2.976562352495855,0.021726732499969745,9.2052498E7,0.0,9.2052498E7,9.2052498E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.010863366249984872,0.010863366249984872,137.0,137.0,137.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,205.5,137.0,137.0,0,0,0,0,0,0,1,137,1,137,-1,-1,1,0,0,0,0,0,9.2052498E7,0.0,9.2052498E7,9.2052498E7,No Label
192.168.1.223-255.255.255.255-30303-30303-17,192.168.1.223,30303,255.255.255.255,30303,17,02/02/2025 08:49:14 ??,119689698,17,1,153.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,1.3534999478401224,0.15038888309334691,7040570.470588235,120055.39920965527,7287784.0,6791938.0,1.12645892E8,7040368.25,123989.69288587385,7287784.0,6791938.0,0,0,0,0,0,0,0,0,0,136,8,0.14203394514371653,0.008354937949630385,9.0,9.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,9.5,9.0,9.0,0,0,0,0,0,0,17,153,1,9,-1,-1,17,0,0,0,0,0,7040570.470588235,120055.39920965527,7287784.0,6791938.0,No Label
