Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.1-239.255.255.250-59122-1900-17,192.168.1.1,59122,239.255.255.250,1900,17,02/02/2025 09:02:41 ??,315229,21,1,8992.0,382.0,462.0,382.0,428.19047619047626,28.963112829285205,382.0,382.0,382.0,0.0,29737.11175050519,69.79053323139686,15010.904761904761,45028.588887399936,210061.0,0.0,300665.0,15033.250000000004,46198.23796693982,210061.0,0.0,0,0,0,0,0,0,0,0,0,168,8,66.61823626633337,3.172296965063494,382.0,462.0,424.1739130434782,30.654455665920946,939.6956521739128,0,0,0,0,0,0,0,0,0.0,443.45454545454544,428.1904761904762,382.0,0,0,0,0,0,0,21,8992,1,382,-1,-1,21,0,0,0,0,0,0,0,0,0,No Label
192.168.1.217-192.168.1.223-49240-50001-17,192.168.1.217,49240,192.168.1.223,50001,17,02/02/2025 09:02:26 ??,18913313,452,1,35708.0,79.0,79.0,79.0,79.0,0.0,79.0,79.0,79.0,0.0,1892.1592425398978,23.95138281696073,41843.61283185841,13374.232674944757,115846.0,22373.0,1.8888485E7,41881.34146341466,13364.982594112178,115846.0,22373.0,0,0,0,0,0,0,0,0,0,3616,8,23.898510007210266,0.05287280975046519,79.0,79.0,79.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,79.17439293598234,79.0,79.0,0,0,0,0,0,0,452,35708,1,79,-1,-1,452,0,0,0,0,0,0,0,0,0,No Label
192.168.1.204-224.0.0.22-0-0-0,192.168.1.204,0,224.0.0.22,0,0,02/02/2025 09:02:05 ??,107882,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.808160768246786,53941.0,59050.48729688858,95696.0,12186.0,95696.0,95696.0,0.0,95696.0,95696.0,0,0,0,0,0,0,0,0,0,0,0,18.538773845497857,9.269386922748929,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.204-224.0.0.251-5353-5353-17,192.168.1.204,5353,224.0.0.251,5353,17,02/02/2025 09:02:05 ??,21610794,5,1,279.0,39.0,77.0,39.0,55.8,19.421637418096342,39.0,39.0,39.0,0.0,14.714868875248175,0.27763903538204104,4322158.8,9114386.678206861,2.0608119E7,638.0,2.1608887E7,5402221.75,1.0148192918942839E7,2.0608119E7,638.0,0,0,0,0,0,0,0,0,0,40,8,0.23136586281836755,0.046273172563673505,39.0,77.0,51.0,17.851237118661178,318.6666666666667,0,0,0,0,0,0,0,0,0.0,59.5,55.8,39.0,0,0,0,0,0,0,5,279,1,39,-1,-1,5,0,3231.0,0.0,3231.0,3231.0,2.0608119E7,0.0,2.0608119E7,2.0608119E7,No Label
192.168.1.223-255.255.255.255-30303-30303-17,192.168.1.223,30303,255.255.255.255,30303,17,02/02/2025 09:02:08 ??,35156933,5,1,45.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,1.5359701598543876,0.17066335109493197,7031386.6,41710.195585731795,7062088.0,6960480.0,2.8096827E7,7024206.75,44452.059355182486,7062088.0,6960480.0,0,0,0,0,0,0,0,0,0,40,8,0.14221945924577664,0.02844389184915533,9.0,9.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,10.5,9.0,9.0,0,0,0,0,0,0,5,45,1,9,-1,-1,5,0,0,0,0,0,7031386.6,41710.195585731795,7062088.0,6960480.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/02/2025 09:02:04 ??,40051691,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5243224312301821,2002584.55,2260.7463712816334,2009900.0,2000540.0,3.8050323E7,2002648.578947368,2303.9895426988114,2009900.0,2000540.0,0,0,0,0,0,0,0,0,0,0,0,0.4993546964096972,0.02496773482048486,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
